year,oa_pos,ya_pos,oa_neg,ya_neg,oa_virtue,oa_vice,ya_virtue,ya_vice,ya_diff,ya_sum
1950,-0.046667963,0.20308396,0.2155185,0.10222091,,,,,,
1951,-0.067623205,0.2180051,0.16712818,0.16889967,,,,,,
1952,0.024591144,0.21662265,0.16228521,0.07002854,,,,,,
1953,-0.019257784,0.20761591,0.16658679,0.09352289,,,,,,
1954,-0.051872306,0.20754573,0.260382,0.17596805,,,,,,
1955,0.0127228685,0.21201822,0.22664452,0.13014483,,,,,,
1956,-0.017709387,0.19189927,0.20023787,0.13139309,,,,,,
1957,-0.019584952,0.18429786,0.13906677,0.19579394,,,,,,
1958,-0.01566216,0.14177987,0.13672565,0.090930395,,,,,,
1959,0.0015007518,0.18587759,0.24481948,0.16317064,,,,,,
1960,-0.04696746,0.0887644,0.17014031,0.061266385,,,,,,
1961,0.006456025,0.16703127,0.17332399,0.11605073,,,,,,
1962,0.040341392,0.19069925,0.21773018,0.1533956,,,,,,
1963,-0.045829725,0.14227538,0.219414,0.092512205,,,,,,
1964,-0.061470233,0.084010206,0.18406714,0.117431216,,,,,,
1965,-0.088003896,0.079023644,0.13780947,0.048616186,,,,,,
1966,-0.13482642,-0.03562122,0.091071546,0.0022106655,,,,,,
1967,-0.06283754,0.094783075,0.021982238,0.051278323,,,,,,
1968,-0.14111789,0.07644425,0.062024307,0.13687184,,,,,,
1969,-0.15029001,0.0051978156,0.111107215,0.09069991,,,,,,
1970,-0.1708462,0.019371297,0.17460264,0.070398085,,,,,,
1971,-0.12729387,0.09045549,0.22044355,0.054528266,,,,,,
1972,-0.11684546,0.14109966,0.18310311,0.026820082,,,,,,
1973,-0.10297921,0.090352595,0.25005278,0.08139838,,,,,,
1974,-0.12062054,0.09477226,0.17555411,-0.0186509,,,,,,
1975,-0.096467905,0.08572525,0.17579672,0.038339905,,,,,,
1976,-0.093389094,0.039492168,0.0584006,0.04244885,,,,,,
1977,-0.021949539,0.13899656,0.1333212,0.06540243,,,,,,
1978,-0.0015598536,0.18103874,0.27029735,0.2092494,,,,,,
1979,0.0062703304,0.1064304,0.16922937,0.17144859,,,,,,
1980,0.029176481,0.16933623,0.30598825,0.2794682,,,,,,
1981,0.023201894,0.16201767,0.2673141,0.24194744,,,,,,
1982,0.030669533,0.19958873,0.2750901,0.25982994,,,,,,
1983,0.028844733,0.20537016,0.34144908,0.2716282,,,,,,
1984,0.02448506,0.20534047,0.34341085,0.2400147,,,,,,
1985,0.06483094,0.18016806,0.35089123,0.2509066,,,,,,
1986,0.021457158,0.16136679,0.34896404,0.27343464,,,,,,
1987,0.054014493,0.14841247,0.3657141,0.32717013,,,,,,
1988,0.06957525,0.14584154,0.38927773,0.31331968,,,,,,
1989,0.013387501,0.1673676,0.29138142,0.33031684,,,,,,
1990,0.004762456,0.099351995,0.3170291,0.29064828,,,,,,
1991,-0.01923578,0.12173387,0.34432855,0.32465026,,,,,,
1992,0.04305934,0.12596786,0.36497813,0.2825795,,,,,,
1993,0.065010086,0.15362805,0.37356424,0.30171317,,,,,,
1994,0.029712517,0.097223304,0.4133095,0.32210326,,,,,,
1995,0.0039923824,0.09255512,0.33762002,0.21215582,,,,,,
1996,0.005883079,0.102031924,0.35279775,0.25594217,,,,,,
1997,-0.0078748055,0.1041066,0.34306908,0.2596912,,,,,,
1998,0.062224925,0.15012114,0.40740025,0.2654743,,,,,,
1999,0.09629142,0.19145544,0.4157252,0.27289784,,,,,,
2000,0.08380475,0.1815482,0.40001208,0.27082872,,,,,,
2001,-0.004367426,0.15547767,0.34524614,0.22435015,,,,,,
2002,0.03681678,0.1869784,0.4179588,0.29329658,,,,,,
2003,-0.031279616,0.13326845,0.3305874,0.25859565,,,,,,
2004,0.04303918,0.16343883,0.36716843,0.26941156,,,,,,
2005,0.037625432,0.22246173,0.37636805,0.29585943,,,,,,
2006,-0.0049079563,0.18065584,0.42296553,0.29029995,,,,,,
2007,-0.003724847,0.21587873,0.42194128,0.3365543,,,,,,
2008,-0.007859804,0.20461714,0.43242887,0.3074064,,,,,,
2009,-0.021643851,0.15408184,0.36808765,0.30487552,,,,,,
2010,-0.017247342,0.20548284,0.34459886,0.28010693,,,,,,
2011,-0.008851025,0.20854893,0.36709416,0.26860243,,,,,,
2012,-0.07172788,0.15740281,0.3363018,0.26576546,,,,,,
2013,0.05430809,0.25485712,0.31572497,0.3149847,,,,,,
2014,-0.050015815,0.22226703,0.32890245,0.3013887,,,,,,
2015,-0.042912323,0.24099882,0.41834143,0.3197834,,,,,,
2016,-0.06933024,0.19218498,0.36646038,0.2915676,,,,,,
2017,-0.07325366,0.20593901,0.42058674,0.3030687,,,,,,
2018,-0.05779787,0.21991234,0.43577072,0.28536147,,,,,,
2019,-0.09859899,0.1513491,0.40015924,0.24044763,,,,,,
2020,-0.06909457,0.18109357,0.46886548,0.32343465,,,,,,
2021,-0.05287987,0.17307648,0.46479023,0.23119487,,,,,,
