year,lower,upper,mean
1950,0.011991474591195584,0.07460423447191715,0.042449754
1951,-0.0038792766630649563,0.05417588874697685,0.025791818
1952,0.02788841910660267,0.0916609328240156,0.06064602
1953,0.020814381912350657,0.09915651455521583,0.06243901
1954,0.023153971135616302,0.10969710685312747,0.06680666
1955,0.04737876504659653,0.14403250962495803,0.09559582
1956,0.024358877912163734,0.1074778888374567,0.06680972
1957,0.015603897254914045,0.08974025398492813,0.053450447
1958,0.004181213583797218,0.06401633098721504,0.035178192
1959,0.012017833627760412,0.0834125604480505,0.04860529
1960,0.013713704142719508,0.09044069275259971,0.05249798
1961,-0.00019977334886789232,0.07373069711029527,0.037657216
1962,0.006055866554379463,0.076774662733078,0.043297704
1963,0.028506240993738174,0.11026761643588542,0.07180739
1964,0.01662661600857973,0.09677627943456173,0.05788143
1965,-0.002926485054194927,0.06935275811702013,0.03456897
1966,0.013335008174180984,0.08230140060186386,0.048422437
1967,0.025402142480015755,0.07986649833619594,0.052171975
1968,-0.03569528330117464,0.023691071569919567,-0.0065396
1969,0.018448392674326897,0.08715685941278933,0.0532554
1970,-0.029783592373132706,0.019603923335671423,-0.0048774215
1971,0.019896776601672175,0.09352572187781334,0.058507074
1972,0.02545272819697857,0.08909435197710991,0.058583762
1973,0.03847562801092863,0.12221208289265631,0.0815567
1974,0.0157594732940197,0.08541921339929104,0.05093836
1975,0.010784103721380235,0.07831815034151075,0.04455845
1976,0.016224925220012665,0.07547127045691011,0.047258344
1977,0.02228635549545288,0.08650824278593063,0.056319676
1978,0.028867483139038086,0.0998864185065031,0.06457785
1979,0.017757814936339857,0.0844727836549282,0.051996395
1980,0.006503473222255709,0.07603507563471792,0.04297451
1981,0.003857511654496193,0.0768059603869915,0.040857974
1982,0.006700505875051023,0.07944215238094327,0.043415863
1983,0.010179162211716174,0.08318260572850704,0.046660352
1984,0.002265950478613377,0.07885636650025844,0.04240016
1985,0.02944079227745533,0.10615810267627239,0.06747486
1986,0.006007618457078934,0.07699368111789226,0.043910682
1987,0.039536413922905925,0.11610923893749714,0.07845698
1988,0.023052673041820525,0.0842949144542217,0.05432918
1989,0.014875881001353264,0.0951108258217573,0.05466127
1990,0.007473127730190754,0.0827766928821802,0.046531305
1991,0.017446551099419595,0.091365198045969,0.054404106
1992,0.009847194887697697,0.06385144814848899,0.03690352
1993,0.010646858811378479,0.07141475081443786,0.041027434
1994,0.02752499468624592,0.08976575173437594,0.058953453
1995,0.028628230094909668,0.10266202315688133,0.067121156
1996,0.011401436664164067,0.08149600699543952,0.047527753
1997,0.00865849331021309,0.0699337314814329,0.03981586
1998,0.029218678921461107,0.09260324127972126,0.061377525
1999,0.01686333939433098,0.07046085223555565,0.043897856
2000,0.02669500056654215,0.09703448899090289,0.061954483
2001,0.020607799291610718,0.09696383662521839,0.059584733
2002,0.0211344288662076,0.0841390762478113,0.053272903
2003,0.012406501173973083,0.0815740156918764,0.04723817
2004,0.017163926921784877,0.08791838102042675,0.051106803
2005,0.02094431798905134,0.10077569708228111,0.06056639
2006,0.019345652870833875,0.09966665543615819,0.059927955
2007,0.01322595365345478,0.08994952775537966,0.051551864
2008,0.012372509762644769,0.07511188685894013,0.044102553
2009,0.0022816594690084463,0.0658370565623045,0.034010954
2010,0.0038545196875929837,0.070660712569952,0.037815053
2011,0.015592906437814236,0.09569627903401852,0.05608311
2012,0.015936861000955104,0.10325476489961147,0.059359003
2013,0.013171214610338211,0.08767532147467134,0.051098567
2014,0.00907843988388777,0.09972138106822967,0.053206794
2015,0.019965483993291854,0.1034330390393734,0.060975228
2016,0.021673318184912204,0.11575896218419071,0.06826785
2017,0.02564437612891197,0.10338803827762603,0.06372896
2018,0.026821755897253753,0.11766675226390362,0.07069611
2019,0.01711335629224777,0.11479699704796074,0.06568133
2020,0.019562139734625818,0.10215052478015423,0.059612647
2021,0.025921071134507655,0.10255161821842192,0.06347391
