"","Year","Prob","Means"
"1",1975,0.946,0.144514553121039
"2",1966,0.896,0.0782110031432248
"3",1969,0.828,0.00496560108356417
"4",1991,0.496,0.042420759058643
"5",1956,0.488,0.0699323059610761
"6",1957,0.426,0.0185617502650134
"7",2016,0.4,0.0851357264559975
"8",1988,0.38,0.0556559307005846
"9",2017,0.362,0.113596280802358
"10",2020,0.346,0.151980949126797
"11",1970,0.274,0.124793418008417
"12",1968,0.268,-0.0184612349176799
"13",1982,0.264,0.0468126263773015
"14",2014,0.258,0.0627824841986433
"15",2012,0.232,0.0728890080718422
"16",2008,0.226,0.0925409103953124
"17",1993,0.212,0.0839940578921914
"18",1958,0.192,0.063883935395876
"19",1992,0.174,0.0761719259418807
"20",1950,0.168,0.0771385850271703
"21",2011,0.168,0.0789957181114845
"22",1983,0.158,0.058596495153083
"23",1994,0.158,0.0935101723000711
"24",2018,0.152,0.138772202622105
"25",2002,0.142,0.103126645173879
"26",1990,0.14,0.0364513308354561
"27",2009,0.134,0.0839570339360296
"28",2015,0.134,0.0795039645449311
"29",1989,0.13,0.0315776296251069
"30",1951,0.124,0.065430168955002
"31",2006,0.124,0.0969645237203446
"32",2019,0.124,0.146999744680697
"33",1986,0.122,0.0621206639811355
"34",1997,0.12,0.102234561979019
"35",1967,0.118,-0.0134748162872103
"36",1959,0.116,0.0737190390636777
"37",1981,0.116,0.0446214487422356
"38",2001,0.114,0.105684141006343
"39",1985,0.106,0.0655951389386072
"40",1974,0.102,0.150460265158772
"41",1955,0.1,0.0729924584409687
"42",1996,0.094,0.100481560264031
"43",2007,0.094,0.0942071992678647
"44",1984,0.09,0.0651680430048226
"45",2004,0.086,0.0983262334759079
"46",1980,0.082,0.0434237244393738
"47",1998,0.082,0.106243719394344
"48",2010,0.082,0.0805428167885063
"49",1987,0.08,0.0576033235042136
"50",1962,0.078,0.0779189338490089
"51",1965,0.076,0.0796936078094064
"52",1976,0.076,0.0442264081918335
"53",1963,0.074,0.0801731444144555
"54",2013,0.074,0.0607212995644275
"55",1979,0.072,0.0426707026319674
"56",1995,0.072,0.0996616037104807
"57",1954,0.07,0.0728394317562427
"58",1961,0.07,0.0770537856462375
"59",1978,0.07,0.0446095138471084
"60",2000,0.068,0.106869009263537
"61",2003,0.068,0.0990929495777457
"62",2005,0.068,0.0970798970545842
"63",1964,0.066,0.0793256123966111
"64",1971,0.066,0.146487660209112
"65",1972,0.066,0.148275832032108
"66",1952,0.064,0.0719055220471622
"67",1953,0.064,0.0723767908573183
"68",1960,0.062,0.0770155520837549
"69",1973,0.06,0.149576021832614
"70",1999,0.06,0.107310505360577
"71",1977,0.054,0.0453733208303465
"72",2021,NA,0.180051300603308
