"IV","DV","best_lag","p_value"
"indi (diff)","positive (diff)",2,0.733
"positive (diff)","indi (diff)",2,0.482
"coll (diff)","positive (diff)",1,0.695
"positive (diff)","coll (diff)",1,0.452
"tight (diff)","positive (diff)",2,0.839
"positive (diff)","tight (diff)",2,0.397
"loose (diff)","positive (diff)",4,0.047
"positive (diff)","loose (diff)",4,0.232
"indi (diff)","negative (diff)",2,0.897
"negative (diff)","indi (diff)",2,0.475
"coll (diff)","negative (diff)",2,0.903
"negative (diff)","coll (diff)",2,0.323
"tight (diff)","negative (diff)",5,0.203
"negative (diff)","tight (diff)",5,0.05
"loose (diff)","negative (diff)",2,0.676
"negative (diff)","loose (diff)",2,0.876
"indi (diff)","competent (diff)",10,0.57
"competent (diff)","indi (diff)",10,0.357
"coll (diff)","competent (diff)",2,0.277
"competent (diff)","coll (diff)",2,0.767
"tight (diff)","competent (diff)",10,0.213
"competent (diff)","tight (diff)",10,0.096
"loose (diff)","competent (diff)",10,0.177
"competent (diff)","loose (diff)",10,0.795
"indi (diff)","warm (diff)",8,0.488
"warm (diff)","indi (diff)",8,0.553
"coll (diff)","warm (diff)",1,0.684
"warm (diff)","coll (diff)",1,0.077
"tight (diff)","warm (diff)",8,0.258
"warm (diff)","tight (diff)",8,0.185
"loose (diff)","warm (diff)",10,0.682
"warm (diff)","loose (diff)",10,0.448
"indi (diff)","incompetent (diff)",2,0.916
"incompetent (diff)","indi (diff)",2,0.13
"coll (diff)","incompetent (diff)",9,0.148
"incompetent (diff)","coll (diff)",9,0.051
"tight (diff)","incompetent (diff)",2,0.93
"incompetent (diff)","tight (diff)",2,0.077
"loose (diff)","incompetent (diff)",3,0.674
"incompetent (diff)","loose (diff)",3,0.208
"indi (diff)","unwarm (diff)",8,0.961
"unwarm (diff)","indi (diff)",8,0.671
"coll (diff)","unwarm (diff)",1,0.136
"unwarm (diff)","coll (diff)",1,0.305
"tight (diff)","unwarm (diff)",6,0.667
"unwarm (diff)","tight (diff)",6,0.321
"loose (diff)","unwarm (diff)",10,0.211
"unwarm (diff)","loose (diff)",10,0.227
"indi (diff)","virtue (diff)",2,0.464
"virtue (diff)","indi (diff)",2,0.637
"coll (diff)","virtue (diff)",1,0.644
"virtue (diff)","coll (diff)",1,0.409
"tight (diff)","virtue (diff)",6,0.973
"virtue (diff)","tight (diff)",6,0.257
"loose (diff)","virtue (diff)",10,0.711
"virtue (diff)","loose (diff)",10,0.11
"indi (diff)","vice (diff)",8,0.448
"vice (diff)","indi (diff)",8,0.828
"coll (diff)","vice (diff)",10,0.199
"vice (diff)","coll (diff)",10,0.123
"tight (diff)","vice (diff)",5,0.127
"vice (diff)","tight (diff)",5,0.335
"loose (diff)","vice (diff)",10,0.289
"vice (diff)","loose (diff)",10,0.559
