,Direction,Lag,F-statistic_x,p-value_x,AIC_x,F-statistic_y,p-value_y,AIC_y
0,coll -> virtue,9,2.12,0.05,-28.57,0.46,0.89,-28.57
1,indi -> competent,10,3.13,0.01,-26.84,1.36,0.24,-26.84
2,indi -> vice,4,2.79,0.03,-26.45,0.26,0.9,-26.45
3,indicoll -> competent,10,4.16,0.0,-26.93,1.47,0.19,-26.93
4,loose -> competent,10,2.95,0.01,-26.53,0.67,0.74,-26.53
5,loose -> positive,5,3.68,0.01,-26.82,0.78,0.57,-26.82
6,loose -> unwarm,10,2.78,0.01,-26.63,1.57,0.15,-26.63
7,loose -> vice,4,4.18,0.0,-26.4,0.07,0.99,-26.4
8,loose -> virtue,5,3.48,0.01,-27.03,1.55,0.19,-27.03
9,loose -> warm,5,2.63,0.03,-26.48,1.25,0.3,-26.48
10,tight -> vice,7,2.58,0.02,-26.13,1.13,0.36,-26.13
11,tightloose -> competent,10,3.24,0.0,-26.11,1.12,0.37,-26.11
